Date,Target
11/7/2002,20.25330544
11/8/2002,20.20730591
11/11/2002,19.58301163
11/12/2002,20.27301025
11/13/2002,19.73415565
11/14/2002,22.00789261
11/15/2002,21.61359596
11/18/2002,20.65899277
11/19/2002,20.47466087
11/20/2002,20.52074242
11/21/2002,21.56093216
11/22/2002,21.69260406
11/25/2002,22.06127357
11/26/2002,22.10735512
11/27/2002,23.23972702
11/29/2002,22.89737701
12/2/2002,23.52938652
12/3/2002,22.75254059
12/4/2002,23.14755249
12/5/2002,22.80520248
12/6/2002,22.35753441
12/9/2002,21.27125931
12/10/2002,21.85718727
12/11/2002,21.63993454
12/12/2002,21.52801704
12/13/2002,20.3890686
12/16/2002,20.93550301
12/17/2002,19.58588409
12/18/2002,19.52004814
12/19/2002,19.40813065
12/20/2002,19.67805099
12/23/2002,18.78928185
12/24/2002,18.55227661
12/26/2002,18.92753601
12/27/2002,18.86169243
12/30/2002,19.75047302
12/31/2002,19.75047302
1/2/2003,20.48124313
1/3/2003,19.84922028
1/6/2003,19.91506195
1/7/2003,19.717556
1/8/2003,19.82946014
1/9/2003,20.68532944
1/10/2003,20.54049301
1/13/2003,20.2244854
1/14/2003,20.21131134
1/15/2003,19.67805099
1/16/2003,19.87555504
1/17/2003,19.53321457
1/21/2003,18.848526
1/22/2003,18.47327995
1/23/2003,18.92753601
1/24/2003,18.2362709
1/27/2003,17.94659233
1/28/2003,17.77542877
1/29/2003,17.87417984
1/30/2003,18.13751602
1/31/2003,18.57203102
2/3/2003,18.77611351
2/4/2003,18.28892326
2/5/2003,18.34818649
2/6/2003,17.90709686
2/7/2003,17.64374924
2/10/2003,17.62401199
2/11/2003,17.75567055
2/12/2003,17.95317459
2/13/2003,17.78200912
2/14/2003,18.2296772
2/18/2003,18.48699951
2/19/2003,18.38803291
2/20/2003,17.66228294
2/21/2003,18.79049301
2/24/2003,18.62555122
2/25/2003,18.8102951
2/26/2003,18.55298042
2/27/2003,18.40782356
2/28/2003,18.90265274
3/3/2003,18.18349838
3/4/2003,17.48412895
3/5/2003,17.37857246
3/6/2003,17.1938343
3/7/2003,17.64907455
3/10/2003,17.59629631
3/11/2003,17.33239174
3/12/2003,17.69526863
3/13/2003,18.65194321
3/14/2003,17.99875832
3/17/2003,19.39749527
3/18/2003,19.29852104
3/19/2003,19.52944756
3/20/2003,19.74717903
3/21/2003,20.27499771
3/24/2003,19.46347046
3/25/2003,19.63500786
3/26/2003,19.72737885
3/27/2003,19.47006798
3/28/2003,19.50305748
3/31/2003,19.30512428
4/1/2003,19.23254204
4/2/2003,20.09026527
4/3/2003,19.99789429
4/4/2003,20.41354561
4/7/2003,20.9677639
4/8/2003,20.92158127
4/9/2003,20.31459427
4/10/2003,21.01395226
4/11/2003,20.37395859
4/14/2003,20.72364998
4/15/2003,21.20528793
4/16/2003,20.90839005
4/17/2003,21.31085014
4/21/2003,21.41641426
4/22/2003,21.77928925
4/23/2003,21.92444801
4/24/2003,21.63414192
4/25/2003,21.34383965
4/28/2003,21.8518734
4/29/2003,22.00362587
4/30/2003,22.06300163
5/1/2003,21.70671082
5/2/2003,21.98382187
5/5/2003,22.21474457
5/6/2003,22.6502018
5/7/2003,22.54464149
5/8/2003,22.94710159
5/9/2003,23.27039337
5/12/2003,23.83780098
5/13/2003,24.02253532
5/14/2003,23.70584679
5/15/2003,22.73597145
5/16/2003,22.5046463
5/19/2003,21.94285965
5/20/2003,22.07504845
5/21/2003,21.85032463
5/22/2003,22.26670647
5/23/2003,21.85032463
5/27/2003,22.47159958
5/28/2003,23.29776001
5/29/2003,23.37046814
5/30/2003,24.20984077
6/2/2003,24.56014442
6/3/2003,24.50725365
6/4/2003,24.91704559
6/5/2003,24.81790352
6/6/2003,24.97652435
6/9/2003,24.44777679
6/10/2003,24.77163696
6/11/2003,24.96992302
6/12/2003,25.06244469
6/13/2003,24.45438004
6/16/2003,25.11531448
6/17/2003,24.85094833
6/18/2003,24.79147148
6/19/2003,24.652668
6/20/2003,24.75181007
6/23/2003,24.46759987
6/24/2003,24.72537613
6/25/2003,24.52048111
6/26/2003,24.81790352
6/27/2003,24.60639954
6/30/2003,25.00957489
7/1/2003,24.86416817
7/2/2003,25.08889008
7/3/2003,24.71214104
7/7/2003,25.53831291
7/8/2003,26.31822014
7/9/2003,25.74320602
7/10/2003,24.94348526
7/11/2003,25.39951897
7/14/2003,25.6704998
7/15/2003,25.70354271
7/16/2003,25.86878395
7/17/2003,25.44577789
7/18/2003,25.39290237
7/21/2003,25.32020569
7/22/2003,25.53831291
7/23/2003,25.47222137
7/24/2003,25.4325676
7/25/2003,25.84233093
7/28/2003,26.06705856
7/29/2003,25.24750328
7/30/2003,25.26734352
7/31/2003,25.32681656
8/1/2003,25.12192345
8/4/2003,25.48544502
8/5/2003,24.88399315
8/6/2003,24.91043091
8/7/2003,25.11531448
8/8/2003,25.71676254
8/11/2003,25.87537575
8/12/2003,26.43718529
8/13/2003,26.39751434
8/14/2003,24.91704559
8/15/2003,25.04262352
8/18/2003,25.63856316
8/19/2003,25.75110245
8/20/2003,25.69153595
8/21/2003,25.83057594
8/22/2003,25.42666435
8/25/2003,25.63193321
8/26/2003,25.89017105
8/27/2003,25.90341568
8/28/2003,26.63178444
8/29/2003,26.8834095
9/2/2003,27.4859581
9/3/2003,27.50583076
9/4/2003,26.98272705
9/5/2003,26.49273109
9/8/2003,26.58544159
9/9/2003,25.83720207
9/10/2003,25.53261185
9/11/2003,25.88355446
9/12/2003,25.84382629
9/15/2003,25.94975853
9/16/2003,26.12192345
9/17/2003,26.01597595
9/18/2003,26.22124863
9/19/2003,25.98287964
9/22/2003,25.22802353
9/23/2003,26.14840889
9/24/2003,25.75110245
9/25/2003,25.89679146
9/26/2003,25.32734108
9/29/2003,24.86382103
9/30/2003,24.91680717
10/1/2003,25.57234573
10/2/2003,25.32071304
10/3/2003,26.05570984
10/6/2003,25.92328644
10/7/2003,26.28084564
10/8/2003,26.02260208
10/9/2003,26.75097656
10/10/2003,26.20138359
10/13/2003,26.55895424
10/14/2003,26.92974854
10/15/2003,26.71124458
10/16/2003,26.65164185
10/17/2003,26.27421761
10/20/2003,26.09543419
10/21/2003,26.41328239
10/22/2003,25.89679146
10/23/2003,25.84382629
10/24/2003,25.41341972
10/27/2003,25.69153595
10/28/2003,26.28084564
10/29/2003,26.15503502
10/30/2003,26.00936127
10/31/2003,26.31396675
11/3/2003,26.3934021
11/4/2003,26.11529541
11/5/2003,25.71801567
11/6/2003,25.92328644
11/7/2003,25.73125267
11/10/2003,25.85708046
11/11/2003,26.10206795
11/12/2003,26.43977547
11/13/2003,25.82395172
11/14/2003,25.58557892
11/17/2003,25.38694382
11/18/2003,25.20782471
11/19/2003,25.5262413
11/20/2003,25.10832977
11/21/2003,25.04198265
11/24/2003,25.69871521
11/25/2003,25.85792542
11/26/2003,25.68545914
11/28/2003,25.68545914
12/1/2003,26.25594902
12/2/2003,25.87782478
12/3/2003,26.02376938
12/4/2003,26.63406944
12/5/2003,25.9972229
12/8/2003,26.03040695
12/9/2003,25.95079613
12/10/2003,25.93752861
12/11/2003,25.87782478
12/12/2003,25.71861839
12/15/2003,24.62407112
12/16/2003,24.70368195
12/17/2003,25.47317505
12/18/2003,25.53951454
12/19/2003,25.21446037
12/22/2003,25.31396294
12/23/2003,25.22772789
12/24/2003,24.97564697
